name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
madrid,2021-07-13,26.4,14.5,20.7,26.4,14.5,20.7,4.4,36,0,0,0,,0,0,36,15.5,2.3,1018,18.3,18.2,286.5,24.8,6,,2021-07-13T06:55:56,2021-07-13T21:44:52,0.06,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-14,28.3,15,21.7,27.1,15,21.6,6.1,38.4,0,0,0,,0,0,34.6,11.9,39.5,1017.5,43.6,18.2,265.9,23.1,6,,2021-07-14T06:56:41,2021-07-14T21:44:20,0.1,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-15,31.1,16.2,23.6,29.2,16.2,23.1,7,37.4,0,0,0,,0,0,34.9,13.8,35.1,1016,25.6,17.9,283.7,24.6,7,,2021-07-15T06:57:27,2021-07-15T21:43:45,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-16,34.7,19.1,27,32.7,19.1,26.2,8.6,33.2,0,0,0,,0,0,23.4,10.1,325.5,1014.9,0,17.7,276.9,24.1,6,,2021-07-16T06:58:14,2021-07-16T21:43:09,0.2,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-17,37.4,21.6,29.3,35.3,21.6,28.2,7.2,26.4,0,0,0,,0,0,27.7,12.2,323.4,1013.2,0.2,18.2,276.8,23.8,6,,2021-07-17T06:59:02,2021-07-17T21:42:31,0.25,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-18,35.8,22.6,29.6,33.3,22.6,28.3,7,26.8,0,0,0,,0,0,34.9,20.3,332,1011.4,0.4,18.5,277.7,23.8,6,,2021-07-18T06:59:50,2021-07-18T21:41:51,0.31,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-19,36.3,21.5,28.4,33.6,21.5,27.3,7.5,30.2,0,0,0,,0,0,30.2,15.7,333.4,1009.9,1.5,18,277.7,24.1,6,,2021-07-19T07:00:39,2021-07-19T21:41:09,0.37,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-20,35.6,22,28.6,33.3,22,27.5,7.4,27.7,0,0,0,,0,0,30.2,18.4,244.2,1010.5,12,16.7,261.3,22.7,6,,2021-07-20T07:01:30,2021-07-20T21:40:25,0.41,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-21,36.2,22.1,28.9,33.8,22.1,27.9,7.6,28.4,0,0,0,,0,0,22.3,13.1,151.8,1013.4,0.2,17.7,267.3,23.2,6,,2021-07-21T07:02:20,2021-07-21T21:39:39,0.45,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-22,36.5,22.9,30,34,22.9,28.7,7.6,26.6,0,0,0,,0,0,37.8,19.8,202.9,1013,0,17.7,271.4,23.3,6,,2021-07-22T07:03:12,2021-07-22T21:38:52,0.48,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-23,33.4,20.6,27.6,31,20.6,26.6,4.8,25.2,0,0,0,,0,0,54.4,29.3,231.5,1009.9,12.7,17.1,264.6,22.9,7,,2021-07-23T07:04:04,2021-07-23T21:38:02,0.5,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-24,31.6,18.5,25,29.5,18.5,24.4,5.3,30.4,0,0,0,,0,0,28.8,16.4,268,1009.2,22.4,18.2,275.4,23.9,6,,2021-07-24T07:04:56,2021-07-24T21:37:12,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-25,31.1,18.5,24.5,29.2,18.5,23.9,6.2,33.2,0.001,100,4.17,rain,0,0,36.7,25.8,298.5,1008.8,44.5,18.3,227.6,19.8,6,,2021-07-25T07:05:50,2021-07-25T21:36:19,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-26,29.9,16.6,22.8,28.8,16.6,22.6,13.4,59.9,6.007,100,20.83,rain,0,0,27,17.7,351.9,1011.4,29,17.3,246.3,21.3,6,,2021-07-26T07:06:43,2021-07-26T21:35:25,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
