name,datetime,temp,humidity,windspeed
valencia,2020-09-03,24.6,65.0,21.7
valencia,2020-09-04,24.2,62.4,18.5
valencia,2020-09-05,24.1,67.0,17.7
valencia,2020-09-06,24.4,65.5,17.7
valencia,2020-09-07,23.3,64.9,22.2
valencia,2020-09-08,22.3,58.0,16.1
valencia,2020-09-09,22.5,59.0,15.2
valencia,2020-09-10,23.3,65.9,16.3
valencia,2020-09-11,24.4,59.4,20.1
valencia,2020-09-12,25.0,59.4,20.6
valencia,2020-09-13,25.3,54.5,16.6
valencia,2020-09-14,24.5,56.9,15.8
valencia,2020-09-15,25.6,70.6,16.8
valencia,2020-09-16,24.7,71.1,16.0
valencia,2020-09-17,24.8,72.8,15.0
valencia,2020-09-18,23.3,79.3,16.4
valencia,2020-09-19,23.8,64.6,26.8
valencia,2020-09-20,25.5,50.5,24.4
valencia,2020-09-21,24.0,60.7,17.5
valencia,2020-09-22,23.7,65.6,17.5
valencia,2020-09-23,24.8,59.9,18.0
valencia,2020-09-24,24.9,52.0,34.6
valencia,2020-09-25,23.3,34.5,20.2
valencia,2020-09-26,21.1,33.2,18.2
valencia,2020-09-27,21.1,39.7,16.6
valencia,2020-09-28,18.9,47.9,21.0
valencia,2020-09-29,19.6,61.7,14.5
valencia,2020-09-30,20.0,73.3,13.2
valencia,2020-10-01,23.8,49.8,30.6
valencia,2020-10-02,20.3,52.5,31.3
valencia,2020-10-03,17.6,43.3,32.3
valencia,2020-10-04,18.2,45.8,30.5
valencia,2020-10-05,19.2,47.5,18.6
valencia,2020-10-06,20.0,49.7,17.4
valencia,2020-10-07,22.8,50.5,16.1
valencia,2020-10-08,20.8,69.8,18.8
valencia,2020-10-09,20.8,78.5,18.7
valencia,2020-10-10,21.5,76.6,14.8
valencia,2020-10-11,19.6,44.3,19.9
valencia,2020-10-12,18.2,38.5,17.2
valencia,2020-10-13,20.4,44.1,20.0
valencia,2020-10-14,18.0,65.0,16.5
valencia,2020-10-15,16.9,39.7,22.3
valencia,2020-10-16,15.3,43.4,21.5
valencia,2020-10-17,15.5,59.2,20.6
valencia,2020-10-18,16.3,66.5,14.5
