name,datetime,temp,humidity,windspeed
madrid,2020-09-20,18.4,75.1,23.7
madrid,2020-09-21,18.3,66.9,12.9
madrid,2020-09-22,19.0,60.9,19.6
madrid,2020-09-23,19.4,67.5,25.9
madrid,2020-09-24,18.4,74.7,30.2
madrid,2020-09-25,15.1,46.6,29.2
madrid,2020-09-26,14.5,51.3,23.6
madrid,2020-09-27,16.9,54.2,24.3
madrid,2020-09-28,15.0,47.5,5.4
madrid,2020-09-29,17.8,40.8,11.8
madrid,2020-09-30,18.4,42.7,12.6
madrid,2020-10-01,17.5,52.7,25.7
madrid,2020-10-02,13.3,65.3,34.8
madrid,2020-10-03,11.9,52.6,27.2
madrid,2020-10-04,12.4,60.5,27.5
madrid,2020-10-05,14.0,52.1,17.8
madrid,2020-10-06,16.5,61.4,12.9
madrid,2020-10-07,18.1,60.5,9.6
madrid,2020-10-08,18.5,60.4,15.5
madrid,2020-10-09,18.5,59.0,10.9
madrid,2020-10-10,18.2,53.9,22.6
madrid,2020-10-11,13.4,49.9,18.3
madrid,2020-10-12,13.1,47.5,15.8
madrid,2020-10-13,14.8,53.3,16.9
madrid,2020-10-14,13.6,48.3,18.9
madrid,2020-10-15,11.3,53.3,14.7
madrid,2020-10-16,9.7,54.2,13.2
madrid,2020-10-17,10.1,54.6,6.1
madrid,2020-10-18,12.9,50.6,8.6
madrid,2020-10-19,15.5,47.9,14.4
madrid,2020-10-20,14.9,77.0,36.8
madrid,2020-10-21,14.7,81.0,23.7
madrid,2020-10-22,13.8,87.0,16.7
madrid,2020-10-23,11.5,85.3,16.1
madrid,2020-10-24,10.3,84.5,24.0
madrid,2020-10-25,10.9,86.0,30.8
madrid,2020-10-26,8.8,68.3,27.1
madrid,2020-10-27,10.2,67.8,19.3
madrid,2020-10-28,10.9,89.6,9.6
madrid,2020-10-29,12.8,78.1,7.3
madrid,2020-10-30,12.1,77.3,6.3
madrid,2020-10-31,13.6,75.3,10.1
madrid,2020-11-01,13.9,76.6,7.7
madrid,2020-11-02,14.3,79.9,7.1
madrid,2020-11-03,13.1,86.4,15.3
madrid,2020-11-04,9.3,78.2,16.1
madrid,2020-11-05,10.4,89.2,15.5
madrid,2020-11-06,14.4,80.0,32.3
madrid,2020-11-07,12.2,87.8,24.1
madrid,2020-11-08,11.2,84.1,7.3
madrid,2020-11-09,11.6,89.4,5.6
madrid,2020-11-10,10.8,84.3,5.3
madrid,2020-11-11,10.3,82.9,7.5
madrid,2020-11-12,11.0,80.8,6.4
madrid,2020-11-13,11.5,76.2,6.7
madrid,2020-11-14,11.5,90.9,4.8
madrid,2020-11-15,13.2,95.3,18.1
madrid,2020-11-16,13.5,90.0,10.9
madrid,2020-11-17,10.7,90.9,7.7
madrid,2020-11-18,11.3,92.9,6.6
madrid,2020-11-19,13.1,78.3,12.2
madrid,2020-11-20,11.1,60.4,15.6
madrid,2020-11-21,9.2,51.9,7.4
madrid,2020-11-22,8.3,65.9,7.2
madrid,2020-11-23,8.4,71.7,5.9
madrid,2020-11-24,7.3,77.5,6.5
madrid,2020-11-25,8.4,80.1,14.3
madrid,2020-11-26,9.9,88.9,16.1
madrid,2020-11-27,9.4,87.4,16.0
madrid,2020-11-28,8.7,88.6,12.0
madrid,2020-11-29,8.0,89.0,8.5
madrid,2020-11-30,9.0,80.6,7.9
madrid,2020-12-01,9.0,68.8,13.3
madrid,2020-12-02,8.4,54.5,24.9
madrid,2020-12-03,4.4,67.9,24.9
madrid,2020-12-04,5.3,71.9,33.1
madrid,2020-12-05,3.9,65.2,24.1
madrid,2020-12-06,4.8,67.3,32.8
madrid,2020-12-07,8.2,84.9,32.1
madrid,2020-12-08,6.4,68.8,27.7
madrid,2020-12-09,5.4,67.3,20.4
madrid,2020-12-10,9.7,85.7,30.8
madrid,2020-12-11,13.3,88.6,37.7
madrid,2020-12-12,11.1,59.5,33.9
madrid,2020-12-13,8.2,84.0,16.2
madrid,2020-12-14,10.3,90.1,12.2
madrid,2020-12-15,8.6,85.5,23.7
madrid,2020-12-16,7.5,85.8,9.8
madrid,2020-12-17,9.9,87.1,8.1
madrid,2020-12-18,7.8,92.1,8.7
madrid,2020-12-19,7.8,96.9,11.6
madrid,2020-12-20,7.9,90.7,10.2
madrid,2020-12-21,7.8,95.4,8.7
madrid,2020-12-22,8.1,95.6,7.1
madrid,2020-12-23,7.5,97.8,8.7
madrid,2020-12-24,8.8,83.8,12.0
madrid,2020-12-25,5.2,59.0,19.8
madrid,2020-12-26,3.3,59.6,8.6
madrid,2020-12-27,2.3,76.3,40.2
madrid,2020-12-28,6.2,67.0,42.8
madrid,2020-12-29,3.7,74.7,25.4
madrid,2020-12-30,3.8,62.4,26.1
madrid,2020-12-31,2.9,81.6,24.2
madrid,2021-01-01,3.5,72.1,29.3
madrid,2021-01-02,1.9,55.5,23.2
madrid,2021-01-03,2.1,63.3,22.5
madrid,2021-01-04,2.5,63.8,19.4
madrid,2021-01-05,0.8,69.7,8.2
madrid,2021-01-06,1.2,62.6,7.8
madrid,2021-01-07,0.7,75.0,11.2
madrid,2021-01-08,-0.1,84.4,18.7
madrid,2021-01-09,-0.5,98.3,21.8
madrid,2021-01-10,1.2,87.1,18.2
madrid,2021-01-11,-0.7,75.0,6.2
madrid,2021-01-12,-3.5,79.3,6.7
madrid,2021-01-13,-2.2,77.3,5.3
madrid,2021-01-14,-1.0,77.5,6.1
madrid,2021-01-15,0.2,82.9,8.6
madrid,2021-01-16,0.6,81.3,8.3
madrid,2021-01-17,0.9,73.0,7.9
madrid,2021-01-18,2.6,78.0,6.3
madrid,2021-01-19,2.5,82.9,6.9
madrid,2021-01-20,3.5,94.0,12.5
madrid,2021-01-21,8.0,94.7,33.1
madrid,2021-01-22,8.1,79.5,51.3
madrid,2021-01-23,6.3,91.1,39.8
madrid,2021-01-24,9.7,69.3,40.8
madrid,2021-01-25,10.5,91.9,30.8
madrid,2021-01-26,11.6,92.8,19.9
madrid,2021-01-27,13.3,87.7,15.4
madrid,2021-01-28,10.6,96.2,8.9
madrid,2021-01-29,9.6,93.1,10.1
madrid,2021-01-30,10.2,77.1,35.0
madrid,2021-01-31,10.2,75.1,36.7
madrid,2021-02-01,11.4,73.1,32.8
madrid,2021-02-02,10.1,89.2,21.0
madrid,2021-02-03,9.9,88.1,14.9
madrid,2021-02-04,10.7,84.9,14.7
madrid,2021-02-05,11.8,72.9,22.1
madrid,2021-02-06,9.0,89.8,14.4
madrid,2021-02-07,7.4,74.8,29.6
madrid,2021-02-08,7.4,87.4,33.0
madrid,2021-02-09,7.2,91.9,33.1
madrid,2021-02-10,9.3,74.7,36.7
madrid,2021-02-11,9.8,91.3,14.8
madrid,2021-02-12,11.3,77.3,29.0
madrid,2021-02-13,9.7,68.9,13.8
madrid,2021-02-14,9.6,71.6,8.5
madrid,2021-02-15,10.2,73.7,10.3
madrid,2021-02-16,9.5,74.3,14.2
madrid,2021-02-17,10.4,73.7,10.3
madrid,2021-02-18,10.0,67.3,27.1
madrid,2021-02-19,10.7,62.7,18.4
madrid,2021-02-20,11.5,51.6,22.5
madrid,2021-02-21,9.7,74.8,21.3
madrid,2021-02-22,7.6,68.1,23.9
madrid,2021-02-23,8.3,71.9,12.0
madrid,2021-02-24,9.6,75.0,19.9
madrid,2021-02-25,10.0,72.9,10.8
madrid,2021-02-26,11.3,64.5,8.0
madrid,2021-02-27,12.4,52.8,7.3
madrid,2021-02-28,10.0,61.4,22.8
madrid,2021-03-01,8.6,73.5,14.1
madrid,2021-03-02,10.7,70.7,10.8
madrid,2021-03-03,11.2,73.2,6.5
madrid,2021-03-04,9.3,83.3,7.0
madrid,2021-03-05,10.3,72.1,8.2
madrid,2021-03-06,11.3,62.4,8.6
madrid,2021-03-07,10.1,71.5,9.3
madrid,2021-03-08,8.3,84.6,18.1
madrid,2021-03-09,8.5,61.0,12.8
madrid,2021-03-10,8.3,56.7,12.6
madrid,2021-03-11,11.4,67.5,20.2
madrid,2021-03-12,10.8,65.3,19.7
madrid,2021-03-13,9.3,51.4,18.9
madrid,2021-03-14,10.2,55.9,11.6
madrid,2021-03-15,11.1,48.1,13.5
madrid,2021-03-16,11.8,46.5,23.5
madrid,2021-03-17,12.6,44.2,20.9
madrid,2021-03-18,8.9,41.2,25.7
madrid,2021-03-19,7.3,54.6,22.0
madrid,2021-03-20,6.8,38.9,24.9
madrid,2021-03-21,7.7,40.3,16.6
madrid,2021-03-22,9.5,45.8,10.7
madrid,2021-03-23,11.4,41.3,6.6
madrid,2021-03-24,12.9,39.1,12.2
madrid,2021-03-25,13.2,44.8,14.9
madrid,2021-03-26,13.2,48.3,29.8
madrid,2021-03-27,12.4,55.3,12.7
madrid,2021-03-28,14.1,52.5,11.9
madrid,2021-03-29,15.3,38.1,29.8
madrid,2021-03-30,15.8,37.4,18.7
madrid,2021-03-31,16.1,33.4,19.5
madrid,2021-04-01,16.7,35.0,13.4
madrid,2021-04-02,13.3,80.2,21.1
madrid,2021-04-03,13.0,76.7,15.0
madrid,2021-04-04,13.4,46.8,15.9
madrid,2021-04-05,14.6,44.9,12.6
madrid,2021-04-06,15.4,38.5,13.6
madrid,2021-04-07,12.7,39.3,17.5
madrid,2021-04-08,12.4,66.7,11.6
madrid,2021-04-09,10.7,77.2,13.1
madrid,2021-04-10,12.3,75.0,13.6
madrid,2021-04-11,11.8,85.7,16.6
madrid,2021-04-12,10.0,54.3,16.3
madrid,2021-04-13,11.7,58.1,13.5
madrid,2021-04-14,14.2,69.8,10.3
madrid,2021-04-15,13.1,67.7,9.8
madrid,2021-04-16,12.2,56.8,14.7
madrid,2021-04-17,9.9,38.2,22.0
madrid,2021-04-18,11.0,44.0,12.1
madrid,2021-04-19,13.5,49.6,22.5
madrid,2021-04-20,14.1,64.2,18.3
madrid,2021-04-21,13.4,65.8,16.5
madrid,2021-04-22,12.3,82.0,9.7
madrid,2021-04-23,13.2,72.2,19.9
madrid,2021-04-24,12.6,71.8,18.5
madrid,2021-04-25,10.8,89.7,11.2
madrid,2021-04-26,13.5,81.6,15.1
madrid,2021-04-27,13.7,80.4,12.7
madrid,2021-04-28,13.4,81.1,24.0
madrid,2021-04-29,13.3,72.2,28.1
madrid,2021-04-30,11.6,63.7,15.4
madrid,2021-05-01,11.7,61.2,16.3
madrid,2021-05-02,13.0,52.4,14.0
madrid,2021-05-03,13.2,62.6,12.7
madrid,2021-05-04,14.7,63.2,10.0
madrid,2021-05-05,17.5,45.6,13.2
madrid,2021-05-06,19.2,47.8,18.7
madrid,2021-05-07,20.0,46.8,11.7
madrid,2021-05-08,20.8,43.5,21.7
madrid,2021-05-09,16.2,61.0,26.3
madrid,2021-05-10,12.0,66.5,25.3
madrid,2021-05-11,11.9,53.6,22.1
madrid,2021-05-12,14.6,55.5,26.7
madrid,2021-05-13,14.6,54.2,29.9
madrid,2021-05-14,16.4,47.3,22.3
madrid,2021-05-15,18.8,54.5,22.7
madrid,2021-05-16,20.1,59.0,21.7
madrid,2021-05-17,19.4,42.0,17.0
madrid,2021-05-18,20.4,40.2,21.2
madrid,2021-05-19,19.3,40.7,17.8
madrid,2021-05-20,20.1,39.8,10.5
madrid,2021-05-21,22.0,43.1,22.9
madrid,2021-05-22,17.8,36.2,22.8
madrid,2021-05-23,14.7,51.9,19.9
madrid,2021-05-24,15.7,55.3,17.1
madrid,2021-05-25,18.7,45.5,16.4
madrid,2021-05-26,20.3,54.0,14.5
